task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	3c/426ced	36454	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	CACHED	0	2025-10-08 16:09:40.657	40.4s	0ms	105.4%	6.5 MB	286 MB	697.7 KB	743 B
11	2b/3e7f39	36686	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	CACHED	0	2025-10-08 16:11:55.357	13.7s	12s	185.2%	766.8 MB	4.4 GB	33.2 MB	3.9 MB
6	12/9d6f7d	36820	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	CACHED	0	2025-10-08 16:12:49.469	40.7s	39s	195.9%	783.5 MB	4.4 GB	73.3 MB	3.9 MB
12	22/b000f8	36790	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	CACHED	0	2025-10-08 16:12:38.803	10.7s	9s	199.4%	519.8 MB	4.4 GB	37.5 MB	4 MB
9	f4/b33e82	36630	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	CACHED	0	2025-10-08 16:10:57.902	57.4s	13s	194.0%	704.2 MB	4.5 GB	34.4 MB	3.8 MB
10	5b/8bfa7f	36963	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	CACHED	0	2025-10-08 16:13:55.413	4.3s	4s	161.1%	1 GB	1.7 GB	36.7 MB	7.5 MB
15	6a/7f463b	36722	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	CACHED	0	2025-10-08 16:12:09.044	19.1s	7s	126.4%	1.2 GB	2.2 GB	44.9 MB	13.1 MB
8	8f/d15498	36756	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	CACHED	0	2025-10-08 16:12:28.181	10.6s	9s	177.3%	485.5 MB	4.4 GB	33.3 MB	3.6 MB
13	f7/7d1718	36867	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	CACHED	0	2025-10-08 16:13:30.197	7.5s	7s	168.3%	188.4 MB	746.2 MB	38.9 MB	9.1 MB
7	52/b9faa7	36934	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	CACHED	0	2025-10-08 16:13:46.209	9.2s	9s	370.3%	2.1 GB	3.1 GB	80.5 MB	40 MB
14	da/dc18c6	36897	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	CACHED	0	2025-10-08 16:13:37.737	8.4s	7s	133.9%	886.1 MB	1.7 GB	36.4 MB	6.4 MB
16	1a/e018a9	37108	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	CACHED	0	2025-10-08 16:17:01.160	12.7s	11s	178.9%	572.3 MB	4.4 GB	29.5 MB	3.8 MB
17	89/0a264e	37186	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	CACHED	0	2025-10-08 16:17:53.522	12.7s	11s	174.5%	486.3 MB	4.4 GB	26.7 MB	3.8 MB
18	08/9e5bfd	37336	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	CACHED	0	2025-10-08 16:21:56.418	9.9s	8s	178.8%	437.1 MB	4.5 GB	27.9 MB	3.7 MB
19	18/6951a6	37025	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	CACHED	0	2025-10-08 16:15:10.101	1m 5s	1m 3s	26.1%	514.2 MB	4.4 GB	33.6 MB	3.9 MB
20	26/69146c	37251	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	CACHED	0	2025-10-08 16:18:29.480	33.6s	32s	193.3%	933.8 MB	4.4 GB	60.2 MB	3.8 MB
4	78/d255d3	36584	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	CACHED	0	2025-10-08 16:10:33.367	24.5s	1s	88.4%	6.5 MB	286 MB	1.8 MB	8.3 MB
2	27/0ec9ae	36474	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	CACHED	0	2025-10-08 16:09:44.150	36.3s	24ms	88.9%	2.2 MB	3.5 MB	56.7 KB	4.9 KB
5	de/2addaf	36553	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	CACHED	0	2025-10-08 16:10:32.299	1.1s	0ms	103.2%	6.4 MB	286 MB	692 KB	4.1 KB
3	40/cfafdb	36507	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	CACHED	0	2025-10-08 16:10:20.438	11.9s	0ms	111.2%	6.5 MB	286.1 MB	148.8 KB	4.8 KB
21	7a/25e310	37141	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	CACHED	0	2025-10-08 16:17:13.852	39.7s	39s	416.4%	202.7 MB	2 GB	173.3 MB	163.5 MB
22	7e/ac4934	37219	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	CACHED	0	2025-10-08 16:18:06.198	23.3s	23s	399.3%	198.4 MB	2 GB	116.8 MB	107.1 MB
25	c4/b777bd	37282	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	CACHED	0	2025-10-08 16:19:03.102	2m 53s	2m 53s	412.7%	202.1 MB	2 GB	820.8 MB	807.8 MB
24	55/12472b	37070	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	CACHED	0	2025-10-08 16:16:15.274	45.9s	21s	395.8%	224.7 MB	2 GB	92.6 MB	83 MB
23	bb/c68a8b	37370	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	CACHED	0	2025-10-08 16:22:06.303	15s	14s	398.9%	179.8 MB	2 GB	92.7 MB	84.5 MB
